timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,checkoutservice_browsing_replicas_2_users_5,checkoutservice,browsing,2,5,3.597212680115272e-05,11960320.0,0.03597212680115272,1196032.0,0.0,3.0,7.5076388888887635,69.05351690477696,0.0,3.597212680115272e-05,1.0,0.36095719428196416
t_1,checkoutservice_browsing_replicas_2_users_5,checkoutservice,browsing,2,5,9.465200558811127e-05,12013568.0,0.09465200558811128,1201356.8,0.0,3.0,7.849074074074025,68.66159885273262,5.867987878695855e-05,9.465200558811127e-05,1.0,0.4046403381046213
t_2,checkoutservice_browsing_replicas_2_users_5,checkoutservice,browsing,2,5,0.00014951190574040898,12247040.0,0.14951190574040898,1224704.0,0.0,3.0,8.11527777777765,69.94775175624716,5.485990015229771e-05,0.00014951190574040898,1.0,0.4506262333030165
t_3,checkoutservice_browsing_replicas_2_users_5,checkoutservice,browsing,2,5,0.00023497947704589334,12750848.0,0.23497947704589334,1275084.8,0.0,1.0,9.095370370370674,69.69654337973596,8.546757130548435e-05,0.00023497947704589334,1.0,0.5261933021839598
t_4,checkoutservice_browsing_replicas_2_users_5,checkoutservice,browsing,2,5,0.0006085794739259884,17846272.0,0.6085794739259884,1784627.2000000002,14.0,1.0,9.079166666666609,69.61805481805072,0.00037359999688009514,0.0006085794739259884,0.06666666666666667,0.937573399872562
t_5,checkoutservice_browsing_replicas_2_users_5,checkoutservice,browsing,2,5,0.0006015089281110926,17846272.0,0.6015089281110926,1784627.2000000002,14.0,1.0,9.045833333333292,70.3228026388749,-7.070545814895856e-06,0.0006015089281110926,1.0,0.9324896221512731
t_6,checkoutservice_browsing_replicas_2_users_5,checkoutservice,browsing,2,5,0.0005395969727330415,17846272.0,0.5395969727330415,1784627.2000000002,14.0,1.0,8.6284722222223,71.91154006752366,-6.191195537805108e-05,0.0005395969727330415,1.0,0.8879744421818172
t_7,checkoutservice_browsing_replicas_2_users_5,checkoutservice,browsing,2,5,0.000479854654936323,9699328.0,0.479854654936323,969932.8,16.0,1.0,8.85925925925946,70.49082463466335,-5.974231779671852e-05,0.000479854654936323,0.3333333333333333,0.6167658632395442
t_8,checkoutservice_browsing_replicas_2_users_5,checkoutservice,browsing,2,5,0.0004255147814358667,9699328.0,0.4255147814358667,969932.8,16.0,1.0,9.128703703703636,69.52777173197343,-5.43398735004563e-05,0.0004255147814358667,1.0,0.5776950693416689
t_9,checkoutservice_browsing_replicas_2_users_5,checkoutservice,browsing,2,5,0.00036029318208579287,9699328.0,0.36029318208579286,969932.8,16.0,1.0,9.839351851852058,70.99394106286157,-6.522159935007382e-05,0.00036029318208579287,1.0,0.5308002294801973
